datetime,Adj Close,Close,High,Low,Open,Volume
2023-09-29 10:00,8750.1904296875,8750.1904296875,8755.3095703125,8678.33984375,8678.33984375,0.0
2023-09-29 11:00,8780.740234375,8780.740234375,8819.0595703125,8750.25,8750.3095703125,0.0
2023-09-29 12:00,8783.48046875,8783.48046875,8799.83984375,8769.240234375,8780.5703125,0.0
2023-09-29 13:00,8784.6396484375,8784.6396484375,8797.5703125,8766.5595703125,8784.2197265625,0.0
2023-09-29 14:00,8773.400390625,8773.400390625,8789.7197265625,8758.51953125,8784.240234375,0.0
2023-09-29 15:00,8799.5498046875,8799.5498046875,8808.83984375,8771.3798828125,8773.990234375,0.0
2023-09-29 16:00,8822.2998046875,8822.2998046875,8831.7802734375,8785.830078125,8799.25,0.0
2023-09-29 17:00,8800.330078125,8800.330078125,8865.41015625,8776.009765625,8821.9697265625,0.0
2023-09-29 18:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-29 19:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-29 20:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-29 21:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-29 22:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-29 23:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 00:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 01:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 02:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 03:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 04:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 05:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 06:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 07:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 08:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 09:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 10:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 11:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 12:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 13:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 14:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 15:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 16:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 17:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 18:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 19:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 20:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
2023-09-30 21:00,8792.830078125,8792.830078125,8801.6298828125,8751.3701171875,8800.33984375,0.0
